sample,copy
X1a1,909319024.4
X1a2,1566568627
X1a3,984444274.8
X1a4,10486176471
X1ab1,1041931973
X1ab2,864196666.7
X1ab3,1558298028
X1ab4,430860759.5
X1b1,479607523.5
X1b2,383650526.3
X1b3,368900000
X1b4,721386924.9
X1ba1,2274815490
X1ba2,1327290435
X1ba3,1537391914
X1ba4,1309352212
X2a1,159881438.8
X2a2,101640333.3
X2a3,132262270.5
X2a4,144502139.5
X2ab1,697910679.6
X2ab2,639745497.6
X2ab3,831340969.2
X2ab4,171163904.6
X2b1,235577163.5
X2b2,168676847.3
X2b3,280349597.9
X2b4,94087800
X2ba1,261285981.3
X2ba2,153620960.7
X2ba3,189563775.5
X2ba4,89776938.78
X3a1,42310456.43
X3a2,213068571.4
X3a3,158057575.8
X3a4,239336484.6
X3ab1,112809789.8
X3ab2,385746543.8
X3ab3,267873986.9
X3ab4,226593988.4
X3b1,302832712.3
X3b2,336599589.3
X3b3,53286238.53
X3b4,154132990.4
X3ba1,209407017.5
X3ba2,174724985.2
X3ba3,61616350.88
X3ba4,171170246.3
X4a1,262496231.9
X4a2,344486607.1
X4a3,377670229
X4a4,313859183.7
X4ab1,274468000
X4ab2,395733333.3
X4ab3,262641299.3
X4ab4,320890909.1
X4b1,538029207.9
X4b2,466678588.2
X4b3,458094845.4
X4b4,344706493.5
X4ba1,231757500
X4ba2,407331707.3
X4ba3,444227665.7
X4ba4,205527536.2
X5a1,92673468.56
X5a2,79260911.16
X5a3,105800000
X5a4,216025116.3
X5ab1,57987146.4
X5ab2,54391160.22
X5ab3,60439859.15
X5ab4,37902764.98
X5b1,43262307.69
X5b2,67186201.23
X5b3,24752584.86
X5b4,26189352.52
X5ba1,199785390.4
X5ba2,185506250
X5ba3,69351111.11
X5ba4,113728830
X6a1,234671980.7
X6a2,233927777.8
X6a3,223132608.7
X6a4,101266619.7
X6ab1,216567378.6
X6ab2,364097307
X6ab3,258795844.2
X6ab4,229903276.3
X6b1,266790930.8
X6b2,151738947.4
X6b3,219867924.5
X6b4,242460591.1
X6ba1,372210526.3
X6ba2,269426470.6
X6ba3,391430117.6
X6ba4,351884745.8
